age,marital,gender,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
57,Married,Female,30,544,$75+,82.8,Luxury,High school degree,39,No,More than 15,Somewhat dissatisfied,3,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
32,Unmarried,Male,2,32,$25 - $49,15.7,Standard,High school degree,10,No,5 to 15,Highly satisfied,6,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
24,Unmarried,Male,5,35,$25 - $49,17.4,Standard,College degree,0,No,Less than 5,Somewhat dissatisfied,1,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
49,Married,Male,12,35,$25 - $49,17.3,Standard,Did not complete high school,4,No,Less than 5,Neutral,3,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,Unmarried,Female,0,22,Under $25,11,Economy,Some college,0,No,Less than 5,Highly dissatisfied,2,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
33,Married,Female,12,39,$25 - $49,19.4,Standard,High school degree,8,No,5 to 15,Somewhat dissatisfied,5,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
56,Unmarried,Male,12,134,$75+,67.2,Luxury,High school degree,19,No,More than 15,Neutral,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
54,Married,male,16,103,$75+,51.2,Luxury,Did not complete high school,28,No,More than 15,Somewhat dissatisfied,6,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
44,Married,Female,8,240,$75+,75.2,Luxury,College degree,11,No,5 to 15,Neutral,2,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
20,Unmarried,Male,1,20,Under $25,9.5,Economy,High school degree,0,No,Less than 5,Somewhat dissatisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
47,Unmarried,Male,15,118,$75+,59.8,Luxury,High school degree,26,No,More than 15,Highly satisfied,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Unmarried,Female,15,78,$75+,38,Luxury,College degree,18,No,More than 15,Somewhat satisfied,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
25,Unmarried,Female,2,68,$50 - $74,33.5,Luxury,College degree,0,No,Less than 5,Somewhat dissatisfied,3,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
52,Unmarried,Male,13,27,$25 - $49,13.4,Economy,Did not complete high school,10,No,5 to 15,Somewhat dissatisfied,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
38,Married,female,0,19,Under $25,9.2,Economy,Did not complete high school,1,No,Less than 5,Highly dissatisfied,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
65,Married,Male,5,20,Under $25,10.1,Economy,High school degree,10,Yes,5 to 15,Neutral,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
28,Married,Male,2,31,$25 - $49,15.6,Standard,Some college,0,No,Less than 5,Neutral,2,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
51,Married,Male,28,51,$50 - $74,25.5,Standard,High school degree,9,No,5 to 15,Neutral,4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
61,Married,Male,34,84,$75+,41.5,Luxury,High school degree,18,No,More than 15,Neutral,2,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
46,Married,Male,10,133,$75+,66.6,Luxury,Post-undergraduate degree,16,No,More than 15,Highly satisfied,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
43,Married,Female,8,109,$75+,54.6,Luxury,High school degree,20,No,More than 15,Neutral,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
28,Unmarried,Male,7,24,Under $25,12.5,Economy,Some college,2,No,Less than 5,Somewhat dissatisfied,1,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
39,Unmarried,Female,6,57,$50 - $74,28.6,Standard,Some college,12,No,5 to 15,Somewhat dissatisfied,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
37,Unmarried,Male,16,24,Under $25,11.3,Economy,Some college,7,No,5 to 15,Highly dissatisfied,2,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
59,Married,Male,35,32,$25 - $49,15.9,Standard,High school degree,0,No,Less than 5,Highly dissatisfied,2,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
55,Unmarried,Female,29,65,$50 - $74,31.5,Luxury,College degree,10,No,5 to 15,Somewhat satisfied,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
51,Married,Male,20,70,$50 - $74,35.6,Luxury,Some college,8,No,5 to 15,Neutral,2,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Married,Male,28,321,$75+,65.9,Luxury,Post-undergraduate degree,11,No,5 to 15,Somewhat satisfied,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
40,Unmarried,Male,4,71,$50 - $74,35.1,Luxury,Some college,6,No,5 to 15,Somewhat dissatisfied,3,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
28,Unmarried,Female,3,35,$25 - $49,17.3,Standard,Some college,6,No,5 to 15,Highly satisfied,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
39,Married,Male,16,85,$75+,44,Luxury,High school degree,21,No,More than 15,Highly satisfied,6,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,Female,0,20,Under $25,9.7,Economy,Some college,3,No,Less than 5,Somewhat satisfied,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
40,Married,Female,5,33,$25 - $49,16.4,Standard,Some college,15,No,More than 15,Highly satisfied,4,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
55,Unmarried,female,18,35,$25 - $49,17.2,Standard,College degree,2,No,Less than 5,Somewhat dissatisfied,1,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
48,Married,Female,0,50,$50 - $74,25.2,Standard,High school degree,11,No,5 to 15,Neutral,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
48,Married,Male,4,1116,$75+,74.1,Luxury,College degree,22,No,More than 15,Highly satisfied,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
49,Married,Female,19,89,$75+,44.7,Luxury,High school degree,25,No,More than 15,Highly satisfied,2,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
56,Unmarried,Female,34,376,$75+,64.9,Luxury,Did not complete high school,35,No,More than 15,Highly satisfied,1,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
44,Unmarried,Male,22,54,$50 - $74,27.3,Standard,Did not complete high school,21,No,More than 15,Neutral,1,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
43,Unmarried,Male,12,68,$50 - $74,32.9,Luxury,High school degree,15,No,More than 15,Neutral,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
61,Married,Female,12,117,$75+,60.4,Luxury,College degree,5,No,5 to 15,Somewhat satisfied,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
37,Unmarried,Male,18,29,$25 - $49,14.5,Economy,Post-undergraduate degree,4,No,Less than 5,Somewhat satisfied,1,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
29,Married,Male,2,25,$25 - $49,12.5,Economy,High school degree,10,No,5 to 15,Somewhat dissatisfied,2,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
30,Married,Female,10,27,$25 - $49,13.1,Economy,Did not complete high school,3,No,Less than 5,Somewhat dissatisfied,4,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
48,Unmarried,Male,7,129,$75+,65.5,Luxury,Some college,20,No,More than 15,Highly satisfied,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
51,Married,Male,24,140,$75+,70.6,Luxury,Did not complete high school,32,No,More than 15,Somewhat satisfied,2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
40,Married,Male,15,57,$50 - $74,29.5,Standard,College degree,12,No,5 to 15,Neutral,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
66,Married,Female,34,30,$25 - $49,15.5,Standard,Did not complete high school,4,No,Less than 5,Somewhat satisfied,4,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
61,Married,Male,18,23,Under $25,11.3,Economy,High school degree,27,Yes,More than 15,Somewhat satisfied,3,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
61,Married,Female,6,64,$50 - $74,32,Luxury,Some college,25,No,More than 15,Highly satisfied,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
32,Married,Male,10,26,$25 - $49,12.2,Economy,Some college,5,No,5 to 15,Somewhat satisfied,6,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
25,Unmarried,Male,6,27,$25 - $49,13.4,Economy,High school degree,1,No,Less than 5,Highly dissatisfied,1,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
47,Unmarried,Male,1,28,$25 - $49,13.7,Economy,Some college,8,No,5 to 15,Neutral,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
59,Married,Female,18,209,$75+,76.8,Luxury,High school degree,22,No,More than 15,Highly satisfied,2,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
25,Married,Female,5,27,$25 - $49,13.8,Economy,High school degree,2,No,Less than 5,Highly dissatisfied,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
63,Married,Male,31,478,$75+,73,Luxury,Did not complete high school,45,No,More than 15,Somewhat satisfied,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
41,Unmarried,Male,8,49,$25 - $49,23.9,Standard,College degree,14,No,5 to 15,Somewhat dissatisfied,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
66,Unmarried,Male,24,30,$25 - $49,14.3,Economy,High school degree,1,No,Less than 5,Somewhat dissatisfied,1,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
20,Unmarried,Male,1,36,$25 - $49,17.5,Standard,Some college,0,No,Less than 5,Somewhat dissatisfied,1,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
47,Married,Male,21,62,$50 - $74,31.2,Luxury,Some college,5,No,5 to 15,Neutral,3,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
42,Unmarried,Female,9,49,$25 - $49,24.5,Standard,Did not complete high school,12,No,5 to 15,Neutral,3,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
35,Married,Female,5,49,$25 - $49,24.3,Standard,College degree,9,No,5 to 15,Somewhat satisfied,4,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
24,Unmarried,Male,2,23,Under $25,11.9,Economy,College degree,1,No,Less than 5,Neutral,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
22,Unmarried,Female,3,23,Under $25,11.5,Economy,College degree,0,No,Less than 5,Neutral,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Married,Male,12,59,$50 - $74,29.8,Standard,Post-undergraduate degree,5,No,5 to 15,Somewhat dissatisfied,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
50,Married,m,20,58,$50 - $74,29.2,Standard,Did not complete high school,8,No,5 to 15,Highly satisfied,2,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
44,Married,Male,8,46,$25 - $49,23.2,Standard,Did not complete high school,18,No,More than 15,Somewhat satisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Unmarried,Male,12,31,$25 - $49,15.4,Standard,College degree,1,No,Less than 5,Highly dissatisfied,2,Yes,Yes,No,No,,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
65,Unmarried,m,43,40,$25 - $49,20.9,Standard,Did not complete high school,10,No,5 to 15,Somewhat satisfied,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
47,Married,Female,21,181,$75+,90.4,Luxury,High school degree,21,No,More than 15,Somewhat satisfied,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
42,Unmarried,m,5,53,$50 - $74,25.4,Standard,College degree,6,No,5 to 15,Somewhat dissatisfied,1,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
48,Unmarried,Female,29,144,$75+,72.7,Luxury,High school degree,14,No,5 to 15,Somewhat dissatisfied,1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
29,Unmarried,Male,4,22,Under $25,10.9,Economy,College degree,0,No,Less than 5,Somewhat dissatisfied,1,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
36,Unmarried,Male,3,43,$25 - $49,20.2,Standard,High school degree,0,No,Less than 5,Highly dissatisfied,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
34,Unmarried,Female,15,23,Under $25,11.4,Economy,High school degree,4,No,Less than 5,Somewhat satisfied,1,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
41,Unmarried,Female,22,68,$50 - $74,34.3,Luxury,College degree,0,No,Less than 5,Highly dissatisfied,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
26,Unmarried,Male,6,41,$25 - $49,20.9,Standard,High school degree,0,No,Less than 5,Highly dissatisfied,3,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
25,Unmarried,Male,6,23,Under $25,11.5,Economy,College degree,0,No,Less than 5,Highly dissatisfied,2,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
53,Unmarried,Male,23,145,$75+,70.9,Luxury,High school degree,29,No,More than 15,Highly satisfied,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
32,Married,Female,1,33,$25 - $49,16.8,Standard,High school degree,2,No,Less than 5,Neutral,2,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
46,Unmarried,Female,7,83,$75+,40.5,Luxury,High school degree,14,No,5 to 15,Somewhat dissatisfied,3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
44,Married,Female,5,39,$25 - $49,19.2,Standard,Did not complete high school,17,No,More than 15,Highly satisfied,6,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
39,Unmarried,Female,17,42,$25 - $49,20.6,Standard,College degree,5,No,5 to 15,Highly dissatisfied,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
39,Married,Female,14,43,$25 - $49,22.3,Standard,Did not complete high school,11,No,5 to 15,Somewhat satisfied,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
40,Unmarried,Female,0,38,$25 - $49,18.9,Standard,College degree,2,No,Less than 5,Neutral,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
25,Unmarried,Female,4,59,$50 - $74,28.4,Standard,College degree,2,No,Less than 5,Somewhat dissatisfied,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
29,Married,Male,2,57,$50 - $74,28.7,Standard,High school degree,6,No,5 to 15,Somewhat dissatisfied,4,No,Yes,No,No,,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
23,Unmarried,Male,0,24,Under $25,11.8,Economy,College degree,0,No,Less than 5,Highly dissatisfied,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
48,Unmarried,Male,25,45,$25 - $49,22.7,Standard,Did not complete high school,11,No,5 to 15,Neutral,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
24,Unmarried,Male,5,22,Under $25,10.6,Economy,High school degree,0,No,Less than 5,Somewhat dissatisfied,1,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
59,Unmarried,Male,24,30,$25 - $49,14.5,Economy,Some college,5,No,5 to 15,Highly dissatisfied,3,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
31,Married,Female,2,30,$25 - $49,15.1,Standard,High school degree,3,No,Less than 5,Highly dissatisfied,4,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
70,Unmarried,Female,23,21,Under $25,10.3,Economy,High school degree,21,Yes,More than 15,Somewhat dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
37,Unmarried,Male,15,51,$50 - $74,24.7,Standard,College degree,5,No,5 to 15,Highly dissatisfied,6,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
59,Married,Female,15,43,$25 - $49,21,Standard,Some college,8,No,5 to 15,Neutral,4,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
38,Unmarried,Female,8,30,$25 - $49,15.2,Standard,College degree,0,No,Less than 5,Highly dissatisfied,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
56,Unmarried,Male,35,37,$25 - $49,18.1,Standard,Some college,5,No,5 to 15,Neutral,1,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
48,Married,Female,19,23,Under $25,11.4,Economy,Did not complete high school,7,No,5 to 15,Somewhat satisfied,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
28,Married,Male,2,16,Under $25,7.9,Economy,College degree,0,No,Less than 5,Highly dissatisfied,3,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
20,Married,Male,0,19,Under $25,9.6,Economy,High school degree,1,No,Less than 5,Somewhat satisfied,8,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
